customer_id,name,signup_date
C001,Customer 1,2024-01-01
C002,Customer 2,2024-02-02
C003,Customer 3,2024-03-03
C004,Customer 4,2024-04-04
C005,Customer 5,2024-05-05
C006,Customer 6,2024-06-06
C007,Customer 7,2024-07-07
C008,Customer 8,2024-08-08
C009,Customer 9,2024-09-09
C010,Customer 10,2024-10-10
C011,Customer 11,2024-11-11
C012,Customer 12,2024-12-12
C013,Customer 13,2024-01-13
C014,Customer 14,2024-02-14
C015,Customer 15,2024-03-15
C016,Customer 16,2024-04-16
C017,Customer 17,2024-05-17
C018,Customer 18,2024-06-18
C019,Customer 19,2024-07-19
C020,Customer 20,2024-08-20
C021,Customer 21,2024-09-21
C022,Customer 22,2024-10-22
C023,Customer 23,2024-11-23
C024,Customer 24,2024-12-24
C025,Customer 25,2024-01-25
C026,Customer 26,2024-02-26
C027,Customer 27,2024-03-27
C028,Customer 28,2024-04-28
C029,Customer 29,2024-05-01
C030,Customer 30,2024-06-02
